9,RUS,Russia,Europe,144444359,144713314,145617329,144668389,143242599,146844839,148005704,138257420,130093010,17098242,9,-0.19%,1.80%
19,DEU,Germany,Europe,83294633,83369843,83328988,82073226,81325090,81551677,79370196,77786703,78294583,357114,238,-0.09%,1.04%
21,GBR,United Kingdom,Europe,67736802,67508936,67059474,65224364,62760039,58850043,57210442,56326328,55650166,242900,280,0.34%,0.85%
23,FRA,France,Europe,64756584,64626628,64480053,63809769,62444567,58665453,56412897,53713830,50523586,551695,118,0.20%,0.81%
25,ITA,Italy,Europe,58870762,59037474,59500579,60232906,59822450,56966397,56756561,56329482,53324036,301336,199,-0.28%,0.74%
32,ESP,Spain,Europe,47519628,47558630,47363807,46431342,46572772,40741651,38889889,37491666,33792617,505992,95,-0.08%,0.59%
37,POL,Poland,Europe,41026067,39857145,38428366,38553146,38597353,38504431,38064255,35521429,32482943,312679,134,2.93%,0.51%
41,UKR,Ukraine,Europe,36744634,39701739,43909666,44982564,45683020,48879755,51589817,49973920,47279086,603500,63,-7.45%,0.46%
64,ROU,Romania,Europe,19892812,19659267,19442038,19906079,20335211,21919876,22836234,22125224,19922618,238391,86,1.19%,0.25%
72,NLD,Netherlands,Europe,17618299,17564014,17434557,17041107,16617117,15899135,14944548,14130387,13037686,41850,523,0.31%,0.22%
82,BEL,Belgium,Europe,11686140,11655930,11561717,11248303,10877947,10264343,9959560,9828986,9629376,30528,386,0.26%,0.15%
87,SWE,Sweden,Europe,10612086,10549347,10368969,9849349,9381729,8871043,8548406,8311763,8027702,450295,26,0.59%,0.13%
89,CZE,Czech Republic,Europe,10495295,10493986,10530953,10523798,10464749,10234710,10301192,10270060,9795744,78865,136,0.01%,0.13%
91,GRC,Greece,Europe,10341277,10384971,10512232,10806641,11033783,11038109,10302255,9307148,8544873,131990,80,-0.42%,0.13%
93,PRT,Portugal,Europe,10247605,10270865,10298192,10365435,10588401,10300626,10007346,9785252,8683631,92090,112,-0.23%,0.13%
94,HUN,Hungary,Europe,10156239,9967308,9750573,9844246,9986825,10202055,10375989,10698679,10315366,93028,111,1.90%,0.13%
97,BLR,Belarus,Europe,9498238,9534954,9633740,9700609,9731427,10256483,10428525,9817257,9170786,207600,47,-0.39%,0.12%
100,AUT,Austria,Europe,8958960,8939617,8907777,8642421,8362829,8010428,7678729,7547561,7465301,83871,109,0.22%,0.11%
101,CHE,Switzerland,Europe,8796669,8740472,8638613,8281732,7822435,7182059,6711693,6319113,6181227,41284,223,0.64%,0.11%
105,SRB,Serbia,Europe,7149077,7221365,7358005,7519496,7653748,7935022,7987529,7777010,7193533,88361,82,-1.00%,0.09%
110,BGR,Bulgaria,Europe,6687717,6781953,6979175,7309253,7592273,8097691,8767778,8980606,8582950,110879,62,-1.39%,0.08%
115,DNK,Denmark,Europe,5910913,5882261,5825641,5677796,5550849,5340655,5144623,5125392,4922963,43094,148,0.49%,0.07%
116,SVK,Slovakia,Europe,5795199,5643453,5456681,5424444,5396424,5376690,5261305,4973883,4522867,49037,118,2.69%,0.07%
118,FIN,Finland,Europe,5545475,5540745,5529468,5479461,5363271,5176209,4986545,4779418,4606621,338424,18,0.09%,0.07%
119,NOR,Norway,Europe,5474360,5434319,5379839,5190356,4889741,4491202,4241636,4085776,3875546,323802,15,0.74%,0.07%
125,IRL,Ireland,Europe,5056935,5023109,4946119,4665760,4524585,3768950,3485374,3391387,2937637,70273,73,0.67%,0.06%
130,HRV,Croatia,Europe,4008617,4030358,4096868,4254815,4368682,4548434,4873707,4680144,4492638,56594,72,-0.54%,0.05%
134,MDA,Moldova,Europe,3435931,3272996,3084847,3277388,3678186,4251573,4480199,4103240,3711140,33846,104,4.98%,0.04%
